Sp,Estado,Diametro,
Menticirrhus ophicephalus,Pg1,12.02290483,
Menticirrhus ophicephalus,Pg1,46.05097519,
Menticirrhus ophicephalus,Pg1,23.18352636,
Menticirrhus ophicephalus,Pg1,34.20379801,
Menticirrhus ophicephalus,Pg1,34.12123493,
Menticirrhus ophicephalus,Pg1,26.37689023,
Menticirrhus ophicephalus,Pg1,36.11873179,
Menticirrhus ophicephalus,Pg1,49.96833546,
Menticirrhus ophicephalus,Pg1,48.49190337,
Menticirrhus ophicephalus,Pg1,44.32445639,
Menticirrhus ophicephalus,Pg1,30.54271193,
Menticirrhus ophicephalus,Pg1,32.91188279,
Menticirrhus ophicephalus,Pg1,24.75913421,
Menticirrhus ophicephalus,Pg1,11.37949756,
Menticirrhus ophicephalus,Pg1,45.67733851,
Menticirrhus ophicephalus,Pg1,28.25801049,
Menticirrhus ophicephalus,Pg1,39.28510834,
Menticirrhus ophicephalus,Pg1,4.196419386,
Menticirrhus ophicephalus,Pg1,17.39734448,
Menticirrhus ophicephalus,Pg1,37.3714054,
Menticirrhus ophicephalus,Pg1,36.5445172,
Menticirrhus ophicephalus,Pg1,42.60729403,
Menticirrhus ophicephalus,Pg1,13.86901222,
Menticirrhus ophicephalus,Pg1,33.67403253,
Menticirrhus ophicephalus,Pg1,33.83187653,
Menticirrhus ophicephalus,Pg1,14.93201167,
Menticirrhus ophicephalus,Pg2,52.29806963,
Menticirrhus ophicephalus,Pg2,64.73846332,
Menticirrhus ophicephalus,Pg2,55.26795135,
Menticirrhus ophicephalus,Pg2,56.7583142,
Menticirrhus ophicephalus,Pg2,51.64511731,
Menticirrhus ophicephalus,Pg2,56.38976847,
Menticirrhus ophicephalus,Pg2,58.45585636,
Menticirrhus ophicephalus,Pg2,59.11897664,
Menticirrhus ophicephalus,Pg2,65.7253251,
Menticirrhus ophicephalus,Pg2,43.26528011,
Menticirrhus ophicephalus,Pg2,55.7479599,
Menticirrhus ophicephalus,Pg2,48.28734259,
Menticirrhus ophicephalus,Pg2,57.76651538,
Menticirrhus ophicephalus,Pg2,62.94981421,
Menticirrhus ophicephalus,Pg2,52.06560203,
Menticirrhus ophicephalus,Pg2,45.83811347,
Menticirrhus ophicephalus,Pg2,59.44069716,
Menticirrhus ophicephalus,Pg2,62.96744236,
Menticirrhus ophicephalus,Pg2,57.58427335,
Menticirrhus ophicephalus,Pg2,48.5216416,
Menticirrhus ophicephalus,Pg2,55.27307788,
Menticirrhus ophicephalus,Pg2,51.07675313,
Menticirrhus ophicephalus,Pg2,49.75323591,
Menticirrhus ophicephalus,Pg2,66.65255981,
Menticirrhus ophicephalus,Pg2,62.01352691,
Menticirrhus ophicephalus,Pg2,59.71300425,
Menticirrhus ophicephalus,Pg2,59.13129144,
Menticirrhus ophicephalus,Pg2,50.94229755,
Menticirrhus ophicephalus,Pg2,57.3812414,
Menticirrhus ophicephalus,Pg2,60.10629204,
Menticirrhus ophicephalus,Pg2,58.22691537,
Menticirrhus ophicephalus,Pg2,60.21571776,
Menticirrhus ophicephalus,Pg2,53.47815444,
Menticirrhus ophicephalus,Pg2,67.38555458,
Menticirrhus ophicephalus,Pg2,59.85610337,
Menticirrhus ophicephalus,Pg2,64.33549592,
Menticirrhus ophicephalus,Pg2,58.36021235,
Menticirrhus ophicephalus,Pg2,53.4602331,
Menticirrhus ophicephalus,Pg2,57.68261858,
Menticirrhus ophicephalus,Pg2,59.12435033,
Menticirrhus ophicephalus,Pg2,50.1804926,
Menticirrhus ophicephalus,Pg2,50.72458744,
Menticirrhus ophicephalus,Pg2,64.43473471,
Menticirrhus ophicephalus,Pg2,53.04090314,
Menticirrhus ophicephalus,Pg2,50.09683526,
Menticirrhus ophicephalus,Pg2,58.4366605,
Menticirrhus ophicephalus,Pg2,52.47478241,
Menticirrhus ophicephalus,Pg2,65.78859908,
Menticirrhus ophicephalus,Pg2,52.00101218,
Menticirrhus ophicephalus,Pg2,51.52726653,
Menticirrhus ophicephalus,CA,99.4260451,
Menticirrhus ophicephalus,CA,118.9355813,
Menticirrhus ophicephalus,CA,115.7575394,
Menticirrhus ophicephalus,CA,106.741518,
Menticirrhus ophicephalus,CA,113.0223819,
Menticirrhus ophicephalus,CA,111.7414804,
Menticirrhus ophicephalus,CA,129.29412,
Menticirrhus ophicephalus,CA,110.9013108,
Menticirrhus ophicephalus,CA,114.6099486,
Menticirrhus ophicephalus,CA,108.1448725,
Menticirrhus ophicephalus,CA,109.6112534,
Menticirrhus ophicephalus,CA,116.7283611,
Menticirrhus ophicephalus,CA,111.8222338,
Menticirrhus ophicephalus,CA,109.6643979,
Menticirrhus ophicephalus,CA,105.0737742,
Menticirrhus ophicephalus,CA,111.4741578,
Menticirrhus ophicephalus,CA,119.6971561,
Menticirrhus ophicephalus,CA,102.8416349,
Menticirrhus ophicephalus,CA,129.8788266,
Menticirrhus ophicephalus,CA,113.786881,
Menticirrhus ophicephalus,CA,115.7992844,
Menticirrhus ophicephalus,CA,126.124735,
Menticirrhus ophicephalus,CA,114.3246614,
Menticirrhus ophicephalus,CA,121.4212302,
Menticirrhus ophicephalus,CA,98.67595334,
Menticirrhus ophicephalus,CA,118.3285514,
Menticirrhus ophicephalus,CA,136.3519508,
Menticirrhus ophicephalus,CA,117.6122849,
Menticirrhus ophicephalus,CA,115.9365945,
Menticirrhus ophicephalus,CA,97.65858882,
Menticirrhus ophicephalus,CA,105.7943452,
Menticirrhus ophicephalus,CA,113.5585978,
Menticirrhus ophicephalus,CA,110.3515127,
Menticirrhus ophicephalus,CA,124.1734362,
Menticirrhus ophicephalus,CA,121.3391826,
Menticirrhus ophicephalus,CA,114.6877577,
Menticirrhus ophicephalus,CA,127.0837262,
Menticirrhus ophicephalus,CA,117.3670898,
Menticirrhus ophicephalus,CA,112.4618635,
Menticirrhus ophicephalus,CA,109.4800847,
Menticirrhus ophicephalus,CA,118.891699,
Menticirrhus ophicephalus,CA,109.453326,
Menticirrhus ophicephalus,CA,121.0811621,
Menticirrhus ophicephalus,CA,116.7085446,
Menticirrhus ophicephalus,CA,125.7920152,
Menticirrhus ophicephalus,CA,121.1859039,
Menticirrhus ophicephalus,CA,121.6577439,
Menticirrhus ophicephalus,CA,110.0078883,
Menticirrhus ophicephalus,CA,109.9790269,
Menticirrhus ophicephalus,CA,114.1197454,
Menticirrhus ophicephalus,Vtg1,147.1349557,
Menticirrhus ophicephalus,Vtg1,127.8128734,
Menticirrhus ophicephalus,Vtg1,149.9138594,
Menticirrhus ophicephalus,Vtg1,125.4534264,
Menticirrhus ophicephalus,Vtg1,145.9751804,
Menticirrhus ophicephalus,Vtg1,136.495328,
Menticirrhus ophicephalus,Vtg1,139.6375148,
Menticirrhus ophicephalus,Vtg1,165.785535,
