Sp,Estado,Rec,Diametro
Cyonoscion analis,Hyd,Vit,670.1638253
Cyonoscion analis,Hyd,Vit,589.7654327
Cyonoscion analis,Hyd,Vit,697.0543878
Cyonoscion analis,Hyd,Vit,585.0170508
Cyonoscion analis,Hyd,Vit,503.656255
Cyonoscion analis,Hyd,Vit,746.6885498
Cyonoscion analis,Hyd,Vit,642.8284612
Cyonoscion analis,Hyd,Vit,554.9207037
Cyonoscion analis,Hyd,Vit,685.2823078
Cyonoscion analis,Hyd,Vit,640.1352549
Cyonoscion analis,Hyd,Vit,646.090283
Cyonoscion analis,Hyd,Vit,603.5804711
Cyonoscion analis,Hyd,Vit,651.4681959
Cyonoscion analis,Hyd,Vit,630.5275267
Cyonoscion analis,Hyd,Vit,615.9992651
Cyonoscion analis,Hyd,Vit,496.0873749
Cyonoscion analis,Hyd,Vit,657.0075493
Cyonoscion analis,Hyd,Vit,622.6883425
Cyonoscion analis,Hyd,Vit,681.261889
Menticirrhus ophicephalus,Pg1,Previt,33.85528818
Menticirrhus ophicephalus,Pg1,Previt,35.09466018
Menticirrhus ophicephalus,Pg1,Previt,26.90696685
Menticirrhus ophicephalus,Pg1,Previt,23.46502827
Menticirrhus ophicephalus,Pg1,Previt,34.05887456
Menticirrhus ophicephalus,Pg1,Previt,9.820440323
Menticirrhus ophicephalus,Pg1,Previt,34.30098551
Menticirrhus ophicephalus,Pg1,Previt,25.23815895
Menticirrhus ophicephalus,Pg1,Previt,25.15840256
Menticirrhus ophicephalus,Pg1,Previt,18.80677998
Menticirrhus ophicephalus,Pg1,Previt,26.83752194
Menticirrhus ophicephalus,Pg1,Previt,46.17312044
Menticirrhus ophicephalus,Pg1,Previt,31.70627864
Menticirrhus ophicephalus,Pg1,Previt,33.20216458
Menticirrhus ophicephalus,Pg1,Previt,20.49468005
Menticirrhus ophicephalus,Pg1,Previt,36.1689984
Menticirrhus ophicephalus,Pg1,Previt,19.13642479
Menticirrhus ophicephalus,Pg1,Previt,24.6842241
Menticirrhus ophicephalus,Pg1,Previt,39.20712652
Menticirrhus ophicephalus,Pg1,Previt,30.98723699
Menticirrhus ophicephalus,Pg1,Previt,35.79621925
Menticirrhus ophicephalus,Pg1,Previt,42.55785082
Menticirrhus ophicephalus,Pg1,Previt,21.55671571
Menticirrhus ophicephalus,Pg1,Previt,12.46862595
Menticirrhus ophicephalus,Pg1,Previt,12.02290483
Menticirrhus ophicephalus,Pg1,Previt,46.05097519
Menticirrhus ophicephalus,Pg1,Previt,23.18352636
Menticirrhus ophicephalus,Pg1,Previt,34.20379801
Menticirrhus ophicephalus,Pg1,Previt,34.12123493
Menticirrhus ophicephalus,Pg1,Previt,26.37689023
Menticirrhus ophicephalus,Pg1,Previt,36.11873179
Menticirrhus ophicephalus,Pg1,Previt,49.96833546
Menticirrhus ophicephalus,Pg1,Previt,48.49190337
Menticirrhus ophicephalus,Pg1,Previt,44.32445639
Menticirrhus ophicephalus,Pg1,Previt,30.54271193
Menticirrhus ophicephalus,Pg1,Previt,32.91188279
Menticirrhus ophicephalus,Pg1,Previt,24.75913421
Menticirrhus ophicephalus,Pg1,Previt,11.37949756
Menticirrhus ophicephalus,Pg1,Previt,45.67733851
Menticirrhus ophicephalus,Pg1,Previt,28.25801049
Menticirrhus ophicephalus,Pg1,Previt,39.28510834
Menticirrhus ophicephalus,Pg1,Previt,4.196419386
Menticirrhus ophicephalus,Pg1,Previt,17.39734448
Menticirrhus ophicephalus,Pg1,Previt,37.3714054
Menticirrhus ophicephalus,Pg1,Previt,36.5445172
Menticirrhus ophicephalus,Pg1,Previt,42.60729403
Menticirrhus ophicephalus,Pg1,Previt,13.86901222
Menticirrhus ophicephalus,Pg1,Previt,33.67403253
Menticirrhus ophicephalus,Pg1,Previt,33.83187653
Menticirrhus ophicephalus,Pg1,Previt,14.93201167
Menticirrhus ophicephalus,Pg2,Previt,52.29806963
Menticirrhus ophicephalus,Pg2,Previt,64.73846332
Menticirrhus ophicephalus,Pg2,Previt,55.26795135
Menticirrhus ophicephalus,Pg2,Previt,56.7583142
Menticirrhus ophicephalus,Pg2,Previt,51.64511731
Menticirrhus ophicephalus,Pg2,Previt,56.38976847
Menticirrhus ophicephalus,Pg2,Previt,58.45585636
Menticirrhus ophicephalus,Pg2,Previt,59.11897664
Menticirrhus ophicephalus,Pg2,Previt,65.7253251
Menticirrhus ophicephalus,Pg2,Previt,43.26528011
Menticirrhus ophicephalus,Pg2,Previt,55.7479599
Menticirrhus ophicephalus,Pg2,Previt,48.28734259
Menticirrhus ophicephalus,Pg2,Previt,57.76651538
Menticirrhus ophicephalus,Pg2,Previt,62.94981421
Menticirrhus ophicephalus,Pg2,Previt,52.06560203
Menticirrhus ophicephalus,Pg2,Previt,45.83811347
Menticirrhus ophicephalus,Pg2,Previt,59.44069716
Menticirrhus ophicephalus,Pg2,Previt,62.96744236
Menticirrhus ophicephalus,Pg2,Previt,57.58427335
Menticirrhus ophicephalus,Pg2,Previt,48.5216416
Menticirrhus ophicephalus,Pg2,Previt,55.27307788
Menticirrhus ophicephalus,Pg2,Previt,51.07675313
Menticirrhus ophicephalus,Pg2,Previt,49.75323591
Menticirrhus ophicephalus,Pg2,Previt,66.65255981
Menticirrhus ophicephalus,Pg2,Previt,62.01352691
Menticirrhus ophicephalus,Pg2,Previt,59.71300425
Menticirrhus ophicephalus,Pg2,Previt,59.13129144
Menticirrhus ophicephalus,Pg2,Previt,50.94229755
Menticirrhus ophicephalus,Pg2,Previt,57.3812414
Menticirrhus ophicephalus,Pg2,Previt,60.10629204
Menticirrhus ophicephalus,Pg2,Previt,58.22691537
Menticirrhus ophicephalus,Pg2,Previt,60.21571776
Menticirrhus ophicephalus,Pg2,Previt,53.47815444
Menticirrhus ophicephalus,Pg2,Previt,67.38555458
Menticirrhus ophicephalus,Pg2,Previt,59.85610337
Menticirrhus ophicephalus,Pg2,Previt,64.33549592
Menticirrhus ophicephalus,Pg2,Previt,58.36021235
Menticirrhus ophicephalus,Pg2,Previt,53.4602331
Menticirrhus ophicephalus,Pg2,Previt,57.68261858
Menticirrhus ophicephalus,Pg2,Previt,59.12435033
Menticirrhus ophicephalus,Pg2,Previt,50.1804926
